EKATTE_ID,SETTLEMENT_NAME,AREA(DECARS)
00802,"с. Аспарухово, общ. Левски, обл. Плевен",11777
00792,"с. Аспарухово, общ. Медковец, обл. Монтана",20416
63015,"с. Атия, общ. Созопол, обл. Бургас",0
00816,"с. Атолово, общ. Стралджа, обл. Ямбол",10346
00828,"с. Ауста, общ. Момчилград, обл. Кърджали",6026
00847,"с. Ахматово, общ. Садово, обл. Пловдив",13017
00864,"с. Ахрянско, общ. Ардино, обл. Кърджали",6839
02021,"с. Баба Тонка, общ. Попово, обл. Търговище",13362
02035,"с. Бабек, общ. Брезово, обл. Пловдив",16759
02049,"с. Бабино, общ. Бобов дол, обл. Кюстендил",10542
02052,"с. Бабинска река, общ. Бобов дол, обл. Кюстендил",3192
07884,"с. Бабинци, общ. Тетевен, обл. Ловеч",10165
02066,"с. Бабица, общ. Брезник, обл. Перник",13121
02076,"с. Баблон, общ. Смолян, обл. Смолян",0
02083,"с. Бабово, общ. Сливо поле, обл. Русе",17389
02097,"с. Бабук, общ. Силистра, обл. Силистра",36665
02107,"с. Бабяк, общ. Белица, обл. Благоевград",16662
02110,"с. Багалевци, общ. Елена, обл. Велико Търново",0
02124,"с. Багра, общ. Кърджали, обл. Кърджали",2400
02138,"с. Багренци, общ. Кюстендил, обл. Кюстендил",8137
02141,"с. Багрилци, общ. Крумовград, обл. Кърджали",26731
02155,"с. Багрянка, общ. Момчилград, обл. Кърджали",3782
02169,"с. Бадевци, общ. Елена, обл. Велико Търново",0
02172,"с. Бадино, общ. Бобошево, обл. Кюстендил",19621
02207,"с. Баевци, общ. Габрово, обл. Габрово",0
02191,"с. Баевци, общ. Елена, обл. Велико Търново",0
02213,"с. Баждари, общ. Елена, обл. Велико Търново",0
02227,"с. Байкал, общ. Долна Митрополия, обл. Плевен",42218
02230,"с. Байкалско, общ. Радомир, обл. Перник",21076
02244,"с. Байково, общ. Хитрино, обл. Шумен",7765
02258,"с. Байлово, общ. Горна Малина, обл. София",24478
02261,"с. Бакалите, общ. Черноочене, обл. Кърджали",4941
02289,"с. Бакьово, общ. Своге, обл. София",8416
02292,"с. Балабаново, общ. Момчилград, обл. Кърджали",10628
02302,"с. Балабанско, общ. Троян, обл. Ловеч",23236
02333,"с. Балалея, общ. Дряново, обл. Габрово",0
02347,"с. Баланите, общ. Габрово, обл. Габрово",14159
02350,"с. Баланово, общ. Дупница, обл. Кюстендил",14398
02364,"с. Балван, общ. Велико Търново, обл. Велико Търново",33670
02378,"с. Балванците, общ. Дряново, обл. Габрово",0
02381,"с. Балдево, общ. Гърмен, обл. Благоевград",8038
02395,"с. Балей, общ. Брегово, обл. Видин",10445
02405,"с. Балик, общ. Тервел, обл. Добрич",14487
02419,"с. Балиновци, общ. Габрово, обл. Габрово",0
02453,"с. Балкан махала, общ. Лъки, обл. Пловдив",0
02436,"с. Балкан, общ. Стамболово, обл. Хасково",0
02448,"с. Балканец, общ. Троян, обл. Ловеч",36770
02467,"с. Балкански, общ. Разград, обл. Разград",31958
02484,"с. Балканци, общ. Генерал Тошево, обл. Добрич",19475
02470,"с. Балканци, общ. Стражица, обл. Велико Търново",13586
02498,"с. Балуци, общ. Елена, обл. Велико Търново",0
02511,"с. Балша, общ. Столична, обл. София (столица)",17456
02539,"с. Бальовци, общ. Ихтиман, обл. София",0
02542,"с. Балювица, общ. Берковица, обл. Монтана",8321
02556,"с. Банари, общ. Дряново, обл. Габрово",0
02563,"с. Бангейци, общ. Трявна, обл. Габрово",12783
02587,"с. Баниска, общ. Две могили, обл. Русе",33945
44402,"с. Баните, общ. Баните, обл. Смолян",15544
02590,"с. Баница, общ. Враца, обл. Враца",37395
02600,"с. Баничан, общ. Гоце Делчев, обл. Благоевград",13100
02614,"с. Банище, общ. Брезник, обл. Перник",16408
02628,"с. Банковец, общ. Антоново, обл. Търговище",4107
02631,"с. Банковци, общ. Габрово, обл. Габрово",0
02645,"с. Банкя, общ. Трън, обл. Перник",5651
02662,"с. Баново, общ. Суворово, обл. Варна",12978
02689,"с. Банчовци, общ. Ихтиман, обл. София",0
02703,"с. Баня, общ. Несебър, обл. Бургас",65177
02734,"с. Баня, общ. Нова Загора, обл. Сливен",43517
02717,"с. Баня, общ. Панагюрище, обл. Пазарджик",34017
02693,"с. Баня, общ. Разлог, обл. Благоевград",36537
02748,"с. Бараково, общ. Кочериново, обл. Кюстендил",7979
02751,"с. Бараци, общ. Крумовград, обл. Кърджали",6710
02779,"с. Барутин, общ. Доспат, обл. Смолян",54946
02796,"с. Басарбово, общ. Русе, обл. Русе",26499
02806,"с. Баскалци, общ. Петрич, обл. Благоевград",27007
02810,"с. Бата, общ. Поморие, обл. Бургас",30194
02823,"с. Батак, общ. Павликени, обл. Велико Търново",23092
02854,"с. Батин, общ. Борово, обл. Русе",38722
02868,"с. Батишница, общ. Две могили, обл. Русе",24056
02871,"с. Батово, общ. Добрич-селска, обл. Добрич",24285
02885,"с. Батошево, общ. Севлиево, обл. Габрово",22145
02899,"с. Батулия, общ. Своге, обл. София",22698
02909,"с. Батулци, общ. Ябланица, обл. Ловеч",29937
02912,"с. Баурене, общ. Криводол, обл. Враца",17784
02926,"с. Бахалин, общ. Сливница, обл. София",0
02935,"с. Баховица, общ. Ловеч, обл. Ловеч",23841
02943,"с. Бахреци, общ. Трявна, обл. Габрово",0
02957,"с. Бацова махала, общ. Никопол, обл. Плевен",20597
02960,"с. Бачево, общ. Разлог, обл. Благоевград",66218
02974,"с. Бачково, общ. Асеновград, обл. Пловдив",37333
02991,"с. Башево, общ. Ардино, обл. Кърджали",4647
03017,"с. Бащино, общ. Главиница, обл. Силистра",12233
03006,"с. Бащино, общ. Кърджали, обл. Кърджали",10185
03023,"с. Бащино, общ. Опан, обл. Стара Загора",14880
03037,"с. Баячево, общ. Търговище, обл. Търговище",15369
03040,"с. Бдинци, общ. Добрич-селска, обл. Добрич",22367
03054,"с. Беброво, общ. Елена, обл. Велико Търново",49087
03068,"с. Беглеж, общ. Плевен, обл. Плевен",57251
03085,"с. Бегово, общ. Калояново, обл. Пловдив",22751
03099,"с. Бегуновци, общ. Брезник, обл. Перник",10587
03109,"с. Бегунци, общ. Карлово, обл. Пловдив",10902
03112,"с. Беден, общ. Девин, обл. Смолян",45762
03126,"с. Беджене, общ. Нови пазар, обл. Шумен",8667
03157,"с. Бежаново, общ. Генерал Тошево, обл. Добрич",30336
03143,"с. Бежаново, общ. Луковит, обл. Ловеч",60937
03174,"с. Безводица, общ. Балчик, обл. Добрич",23621
03188,"с. Безводно, общ. Черноочене, обл. Кърджали",47474
03191,"с. Безден, общ. Костинброд, обл. София",18888
03201,"с. Безденица, общ. Монтана, обл. Монтана",18936
03215,"с. Безмер, общ. Тервел, обл. Добрич",42990
03229,"с. Безмер, общ. Тунджа, обл. Ямбол",32582
03232,"с. Бейковци, общ. Елена, обл. Велико Търново",0
