MUNICIPALITY_CODE	PROVINCE_CODE	contains	EKATTE_ID	NAME_BG	TYPE_BG	NAME_EN	TYPE_EN
PER51	PER		"10478"	Велиново	с.	Velinovo	с.
TGV22	TGV		"10481"	Величка	с.	Velichka	с.
VAR16	VAR		"10495"	Величково	с.	Velichkovo	с.
PAZ19	PAZ		"10505"	Величково	с.	Velichkovo	с.
PER08	PER		"10548"	Велковци	с.	Velkovtsi	с.
VTR04	VTR		"10553"	Велчево	с.	Velchevo	с.
LOV02	LOV		"10567"	Велчево	с.	Velchevo	с.
TGV02	TGV		"10584"	Вельово	с.	Velyovo	с.
BLG49	BLG		"10608"	Велющец	с.	Velyushtets	с.
VAR13	VAR		"10611"	Венелин	с.	Venelin	с.
BGS09	BGS		"10625"	Венец	с.	Venets	с.
SZR23	SZR		"10639"	Венец	с.	Venets	с.
SHU07	SHU		"10642"	Венец	с.	Venets	с.
SFO20	SFO		"10656"	Венковец	с.	Venkovets	с.
VAR24	VAR		"10663"	Венчан	с.	Venchan	с.
SZR04	SZR		"10673"	Верен	с.	Veren	с.
TGV22	TGV		"10687"	Веренци	с.	Verentsi	с.
SFO20	SFO		"10690"	Веринско	с.	Verinsko	с.
KRZ35	KRZ		"10700"	Верско	с.	Versko	с.
RAZ11	RAZ		"10714"	Веселец	с.	Veselets	с.
TGV22	TGV		"10728"	Веселец	с.	Veselets	с.
BGS27	BGS		"10731"	Веселие	с.	Veselie	с.
RAZ17	RAZ		"10759"	Веселина	с.	Veselina	с.
SHU25	SHU		"10762"	Веселиново	с.	Veselinovo	с.
JAM25	JAM		"10776"	Веселиново	с.	Veselinovo	с.
VRC10	VRC		"10789"	Веслец	с.	Veslets	с.
RSE05	RSE		"10803"	Ветово	гр.	Vetovo	гр.
KNL31	KNL		"10817"	Ветрен	с.	Vetren	с.
PAZ29	PAZ		"10820"	Ветрен	гр.	Vetren	гр.
SLS31	SLS		"10834"	Ветрен	с.	Vetren	с.
SZR22	SZR		"10848"	Ветрен	с.	Vetren	с.
PAZ29	PAZ		"10851"	Ветрен дол	с.	Vetren dol	с.
VAR08	VAR		"10865"	Ветрино	с.	Vetrino	с.
VTR04	VTR		"10879"	Ветринци	с.	Vetrintsi	с.
SHU30	SHU		"10882"	Ветрище	с.	Vetrishte	с.
HKV11	HKV		"10906"	Ветрушка	с.	Vetrushka	с.
SML16	SML	(1:21213)	"10910"	Вехтино	с.	Vehtino	с.
SHU30	SHU		"10923"	Вехтово	с.	Vehtovo	с.
VID01	VID		"10937"	Вещица	с.	Veshtitsa	с.
SZR24	SZR		"10954"	Виден	с.	Viden	с.
VID09	VID		"10971"	Видин	гр.	Vidin	гр.
JAM25	JAM		"10985"	Видинци	с.	Vidintsi	с.
MON14	MON		"10999"	Видлица	с.	Vidlitsa	с.
DOB17	DOB		"11003"	Видно	с.	Vidno	с.
PER51	PER		"11017"	Видрар	с.	Vidrar	с.
SFO34	SFO		"11020"	Видраре	с.	Vidrare	с.
PER08	PER		"11034"	Видрица	с.	Vidritsa	с.
SML31	SML		"11048"	Виево	с.	Vievo	с.
BGS12	BGS		"11051"	Визица	с.	Vizitsa	с.
VID30	VID		"11079"	Винарово	с.	Vinarovo	с.
SZR36	SZR		"11082"	Винарово	с.	Vinarovo	с.
BGS08	BGS		"11096"	Винарско	с.	Vinarsko	с.
HKV19	HKV		"11106"	Винево	с.	Vinevo	с.
PDV23	PDV		"11123"	Виница	с.	Vinitsa	с.
MON29	MON		"11137"	Винище	с.	Vinishte	с.
VTR31	VTR		"11140"	Виноград	с.	Vinograd	с.
PAZ29	PAZ		"11154"	Виноградец	с.	Vinogradets	с.
BLG40	BLG		"11168"	Виногради	с.	Vinogradi	с.
MON29	MON		"11171"	Вирове	с.	Virove	с.
VRC10	VRC		"11185"	Вировско	с.	Virovsko	с.
HKV11	HKV		"11199"	Вис	с.	Vis	с.
PER32	PER		"11209"	Вискяр	с.	Viskyar	с.
TGV22	TGV		"11212"	Висок	с.	Visok	с.
KNL05	KNL		"11232"	Висока могила	с.	Visoka mogila	с.
KRZ16	KRZ		"11243"	Висока поляна	с.	Visoka polyana	с.
SHU11	SHU		"11257"	Висока поляна	с.	Visoka polyana	с.
PER32	PER		"11288"	Витановци	с.	Vitanovtsi	с.
SML27	SML		"11301"	Витина	с.	Vitina	с.
BLG40	BLG		"11315"	Вихрен	с.	Vihren	с.
DOB12	DOB		"11329"	Вичово	с.	Vichovo	с.
SFO16	SFO		"11332"	Вишан	с.	Vishan	с.
KRZ16	KRZ		"11346"	Вишеград	с.	Vishegrad	с.
BLG33	BLG	(1:23683)	"11358"	Вишлене	с.	Vishlene	с.
BGS18	BGS		"11363"	Вишна	с.	Vishna	с.
SML02	SML		"11377"	Вишнево	с.	Vishnevo	с.
VTR22	VTR		"11380"	Вишовград	с.	Vishovgrad	с.
SOF46	SOF		"11394"	Владая	с.	Vladaya	с.
PER36	PER		"11404"	Владимир	с.	Vladimir	с.
MON04	MON		"11418"	Владимирово	с.	Vladimirovo	с.
DOB15	DOB		"11421"	Владимирово	с.	Vladimirovo	с.
HKV32	HKV		"11435"	Владимирово	с.	Vladimirovo	с.
RAZ29	RAZ		"11449"	Владимировци	с.	Vladimirovtsi	с.
LOV18	LOV		"11452"	Владиня	с.	Vladinya	с.
VTR31	VTR		"11466"	Владислав	с.	Vladislav	с.
SFO16	SFO		"11483"	Владиславци	с.	Vladislavtsi	с.
VID16	VID		"11497"	Владиченци	с.	Vladichentsi	с.
SFO43	SFO		"11510"	Владо Тричков	с.	Vlado Trichkov	с.
BGS15	BGS		"11538"	Свети Влас	гр.	Sveti Vlas	гр.
VRC10	VRC		"11555"	Власатица	с.	Vlasatitsa	с.
BLG28	BLG		"11569"	Влахи	с.	Vlahi	с.
KRZ35	KRZ		"11613"	Водач	с.	Vodach	с.
PDV23	PDV		"11627"	Воден	с.	Voden	с.
HKV09	HKV		"11644"	Воден	с.	Voden	с.
JAM03	JAM		"11658"	Воден	с.	Voden	с.
JAM22	JAM		"11661"	Воденичане	с.	Vodenichane	с.
SZR31	SZR		"11675"	Воденичарово	с.	Vodenicharovo	с.
KRZ08	KRZ		"11689"	Воденичарско	с.	Vodenicharsko	с.
HKV30	HKV		"11692"	Воденци	с.	Vodentsi	с.
VAR02	VAR		"11702"	Водица	с.	Voditsa	с.
TGV24	TGV		"11716"	Водица	с.	Voditsa	с.
VID15	VID		"11720"	Водна	с.	Vodna	с.
VTR31	VTR		"11750"	Водно	с.	Vodno	с.
SLS10	SLS		"11764"	Водно	с.	Vodno	с.
VID16	VID		"11778"	Воднянци	с.	Vodnyantsi	с.
DOB15	DOB		"11781"	Воднянци	с.	Vodnyantsi	с.
VTR04	VTR		"11795"	Водолей	с.	Vodoley	с.
KRZ35	KRZ		"11805"	Вождово	с.	Vozhdovo	с.
SHU22	SHU		"11819"	Войвода	с.	Voyvoda	с.
HKV30	HKV		"11822"	Войводенец	с.	Voyvodenets	с.
VAR09	VAR		"11836"	Войводино	с.	Voyvodino	с.
PDV17	PDV		"11845"	Войводиново	с.	Voyvodinovo	с.
VRC28	VRC		"11853"	Войводово	с.	Voyvodovo	с.
HKV34	HKV		"11867"	Войводово	с.	Voyvodovo	с.
SML27	SML	(1:07569)	"11870"	Войкова лъка	с.	Voykova laka	с.
SOF46	SOF		"11884"	Войнеговци	с.	Voynegovtsi	с.
